STADTBEZIRKNAME,STADTBEZIRKNR,SE_ANNO_CAD_DATA,district_norm,year,pop,pop_density_km2,geometry,area_km2,population_density,pt_stops_count,pt_stop_density,amenities_count,service_density,green_landuse_pct,cycle_length_km,cycle_infra_density
Plieningen,16,,Plieningen,2023,13709,453.5,"MULTIPOLYGON (((1023252.5654224354 6227776.788235641, 1023235.1344490708 6227815.819990839, 1023335.5185258768 6227898.306267576, 1023422.3781074815 6227983.69929222, 1023490.6954815696 6228117.303158301, 1023543.0267608739 6228249.610879547, 1023565.813525674 6228296.376401574, 1023605.798904907 6228296.272596806, 1023687.1095632052 6228298.736417681, 1023760.4716456333 6228319.948964102, 1023779.3514041397 6228404.179125494, 1023791.4586090876 6228446.95699892, 1023805.6798812436 6228520.736821821, 1023802.3510426987 6228598.659263578, 1023823.7985069477 6228706.619909498, 1023827.4179714569 6228742.025729708, 1023831.2608416021 6228864.198665816, 1023837.6829749949 6228959.804204639, 1023842.2954198304 6229037.708675791, 1023745.0628693874 6229038.553560805, 1023613.4423451996 6229115.891528563, 1023569.6297177356 6229133.377565763, 1023513.1118886131 6229147.419787723, 1023433.5053294507 6229159.205524016, 1023343.5401799672 6229181.445678248, 1023193.6205863155 6229228.163192645, 1023109.4153910183 6229248.068470583, 1023044.8081239715 6229258.656737877, 1022940.9291070501 6229258.917217783, 1022867.0887278967 6229270.685241155, 1022762.0977772052 6229288.322768253, 1022675.5604838692 6229300.121708609, 1022551.4237536963 6229300.453449302, 1022467.7663167091 6229287.888688302, 1022384.6383072042 6229278.822303604, 1022289.9402834609 6229258.198076526, 1021913.460065635 6229175.6860495005, 1021860.330357724 6229159.593554551, 1021809.4766480338 6229129.594713872, 1021759.8240079549 6229119.285937558, 1021797.668827471 6229017.253432006, 1021821.8382425072 6228989.392980415, 1021820.3400878203 6228848.062376658, 1021812.1881208457 6228814.493206729, 1021820.7700239929 6228778.575006617, 1021860.0288678579 6228676.8877177, 1021899.306365932 6228587.388898413, 1021932.5996690013 6228537.527270411, 1021965.9568556718 6228516.113638381, 1022083.4538176135 6228543.269195445, 1022447.8871727197 6228535.281825473, 1022506.5374646045 6228507.705982926, 1022555.0653020976 6228481.17230453, 1022557.4349417711 6228399.87890601, 1022498.6394392428 6228412.815823111, 1022456.4927007285 6228417.839794713, 1022399.6246348554 6228416.99677766, 1022342.760466028 6228417.140129856, 1022281.9494744897 6228407.448394968, 1022274.013411484 6228368.10850819, 1022266.1283037526 6228351.397778458, 1022236.6907653004 6228341.626944823, 1022214.1165484436 6228331.839222464, 1022198.5152082677 6228292.807074028, 1022182.5550263196 6228254.175338828, 1022176.5883166265 6228218.764930921, 1022168.5947935344 6228155.80844262, 1022152.759560616 6228093.853981062, 1022133.9392559787 6228014.196606444, 1022112.2441941516 6227961.1139612645, 1022098.3548342714 6227895.219216841, 1021932.4745564288 6227811.98000281, 1021880.4154592172 6227768.81037439, 1021875.4387388674 6227738.319475168, 1021870.3165078716 6227643.871209867, 1021857.3340595064 6227541.570819007, 1021848.3777158519 6227484.523440592, 1021834.5359683597 6227434.375968125, 1021812.845768573 6227381.2955331355, 1021798.0468612632 6227340.990052434, 1021810.6173298111 6227267.166863451, 1021873.2400580591 6227216.834943985, 1021918.1046465423 6227119.323767098, 1021954.1867198333 6227039.543641023, 1021994.1395636619 6226939.093548289, 1022031.2115664852 6226864.232121698, 1021986.9742943539 6226810.225796617, 1021943.7176277688 6226756.2164970655, 1021925.6351320719 6226723.0089965435, 1021894.2986162808 6226653.393228958, 1021888.5385893383 6226616.916138633, 1021882.0555305397 6226578.437303859, 1021855.6790997405 6226499.886294246, 1021830.0886997646 6226464.392606058, 1021801.7161677602 6226450.238022943, 1021703.9576088727 6226456.155377942, 1021678.4182003272 6226441.99330167, 1021451.0067574247 6226484.850815951, 1021345.6095901653 6226522.403534101, 1021260.6802175869 6226561.000429195, 1021201.2717674045 6226606.64931894, 1021168.795896446 6226656.501795148, 1021112.3242611798 6226749.077238575, 1021060.0520669391 6226818.88692577, 1021007.7251256788 6226864.517345528, 1020945.4448092215 6226895.948098662, 1020849.1655844685 6226931.72202911, 1020825.0434455532 6226917.553261499, 1020806.5944197443 6226904.794417486, 1020739.7930349493 6226813.920387978, 1020710.0281481048 6226811.142309313, 1020640.6157188499 6226821.25303241, 1020572.6422558516 6226841.315355617, 1020521.1469035842 6226619.562942856, 1020581.1129689178 6226598.708764449, 1020640.0914536967 6226582.3206118345, 1020882.7155918909 6226088.280789725, 1020766.478792932 6226065.787087515, 1020759.2942717016 6226020.294190691, 1020744.0643565278 6225941.149782599, 1020829.5392310582 6225786.353842839, 1020962.6310359625 6225813.72780667, 1021016.5649743903 6225814.810700052, 1021086.0320733405 6225795.409605378, 1021079.9040833157 6225732.8764938135, 1021127.7962503579 6225713.521739885, 1021059.0910672687 6225539.26451608, 1021050.3885211011 6225492.635369121, 1021039.0800395941 6225381.685835893, 1021025.9732620947 6225204.959300174, 1021087.045682556 6225185.577806552, 1021114.0687714524 6224948.578583155, 1021139.7391537159 6224812.645781284, 1021240.5361201065 6224759.962844379, 1021332.3274876458 6224709.104877966, 1021467.2762552542 6224620.16015787, 1021600.4332845558 6224531.219142686, 1021742.5888519138 6224433.21615117, 1021951.3119531615 6224289.836616729, 1022294.9053575194 6224033.973376642, 1022450.9122905014 6223922.090257107, 1022553.9568712126 6223848.857953278, 1022796.8014168673 6223674.631875026, 1022815.3038570235 6223656.7300491985, 1023071.3994472537 6223458.48015888, 1023136.7101728584 6223407.919962376, 1023370.5647141295 6223251.794003116, 1023418.2487391498 6223223.810618986, 1023523.1863821936 6223162.011457324, 1023599.0561733725 6223117.381056137, 1023811.4282315451 6223019.165655147, 1023996.84929741 6222948.139474433, 1024175.0801798218 6222887.994628642, 1024353.3538552944 6222845.931897137, 1024531.640648802 6222809.290426592, 1024675.7647473359 6222799.862349627, 1025007.2626254333 6222784.497407614, 1025441.4838627833 6222776.064661674, 1026148.2396290352 6222773.166521582, 1026178.0372190499 6222771.0519239195, 1026387.844670265 6222771.889652359, 1026607.6992377884 6222768.365933889, 1026675.7831809395 6222770.956393188, 1026732.7396653342 6222775.211984898, 1026850.5972172233 6222782.078146183, 1026941.3030334944 6222797.859137104, 1027034.5984333308 6222812.984143127, 1027222.3647020546 6222840.8591261795, 1027410.1397431833 6222871.0974616865, 1027635.7266594088 6222914.245928841, 1028044.9970001812 6222988.82390989, 1029156.9862566831 6223181.246630888, 1029143.9837707175 6223235.379016214, 1029130.0496654678 6223305.0432837615, 1029050.8699866756 6223706.883048653, 1028925.0404248413 6223684.444652017, 1028813.5748395919 6223658.352544909, 1028657.7647837416 6223621.579226474, 1028545.087180661 6223591.882346843, 1028536.1066267425 6223785.446837889, 1028531.6820580949 6223903.267848497, 1028521.2663248599 6224019.908990348, 1028509.6144965433 6224124.530872478, 1028497.0039589913 6224176.943287076, 1028480.8474692234 6224255.84437653, 1028462.3307148655 6224326.622748306, 1028444.668079326 6224393.108283917, 1028437.2340175302 6224442.1138774445, 1028423.4866039335 6224550.997786386, 1028414.0149154948 6224641.362661686, 1028408.4971925422 6224727.145099972, 1028406.291568681 6224787.264708728, 1028422.0504363525 6224847.328416568, 1028442.6707142432 6224930.220860505, 1028452.446460079 6224992.708143355, 1028461.0210527795 6225052.795471449, 1028469.6553685436 6225133.320399629, 1028455.1815627109 6225165.528532997, 1028431.5103316604 6225193.551310607, 1028464.0411105535 6225252.360230449, 1028504.9781616286 6225318.355115394, 1028553.1100223237 6225385.529845587, 1028590.4203652819 6225440.719400805, 1028614.5553911752 6225497.155281729, 1028653.0626022343 6225552.34180309, 1028697.5914461522 6225617.129320971, 1028715.8357494847 6225646.7955131475, 1028698.6941450131 6225709.216290814, 1028685.896685821 6225775.975368755, 1028667.2739267728 6225828.246907952, 1028645.7616541304 6225880.527106243, 1028618.3689231747 6225900.918448461, 1028586.7173603156 6225945.980517831, 1028562.3242209519 6226001.172090823, 1028542.2231295919 6226041.845707935, 1028458.4041732386 6226042.109238057, 1028433.9403928894 6226075.545778366, 1028380.4764786366 6226078.614728006, 1028334.1988131441 6226068.606409685, 1028276.3764192879 6226064.43443078, 1028215.6587891041 6226057.370790833, 1028188.128758389 6226034.24906721, 1028152.0039708863 6226035.811436259, 1028128.8259165024 6226018.477960415, 1028088.283014766 6225993.945181393, 1028057.9129825877 6225986.785967567, 1028010.3393750587 6226024.643382336, 1027987.12544241 6225995.7057296075, 1027952.3694588233 6225972.605089504, 1027904.6306206344 6225956.796129538, 1027861.2572113632 6225951.126950685, 1027839.4965406499 6225923.635706987, 1027814.809249066 6225884.550452913, 1027790.1620688329 6225858.518247913, 1027753.9724217398 6225838.322667996, 1027714.8885226705 6225816.6851119865, 1027678.6940798239 6225795.03922875, 1027630.9012172848 6225760.375005552, 1027594.7295874509 6225745.980328449, 1027560.0324188614 6225741.733766069, 1027526.8142565393 6225749.085242754, 1027495.1037271586 6225776.736479166, 1027487.9532113839 6225804.313550556, 1027391.9392278653 6226074.390096826, 1027291.8641651848 6226027.0779729625, 1027273.7848554276 6226085.765065456, 1027266.7096069397 6226133.070682768, 1027255.3323503619 6226246.247466502, 1027220.2263939178 6226256.639254045, 1027185.1864636225 6226290.540572358, 1027157.6603274574 6226320.066001214, 1027123.9304536884 6226371.539322555, 1027075.7602881072 6226421.641901791, 1027048.0964439532 6226474.623259869, 1027001.3882179969 6226523.253997287, 1026928.3388351528 6226576.372187993, 1026900.6904675077 6226633.762966775, 1026884.7889426912 6226701.405693825, 1026882.0631391185 6226769.010762207, 1026844.142758176 6226819.085115959, 1026803.299538199 6226870.638817803, 1026753.7995094333 6226966.301114928, 1026676.6216267704 6227109.0658577, 1026606.7209701013 6227240.051489881, 1026536.764636831 6227351.935547651, 1026444.7511505901 6227427.150545898, 1026370.2826040905 6227494.965524699, 1026319.2285365874 6227435.273956102, 1025962.9116964882 6227023.925734404, 1025916.3875012314 6226967.036197538, 1025842.2167525782 6226867.352543198, 1025754.2016463296 6226845.610751346, 1025488.0430734536 6226803.256410448, 1025316.7951374088 6226778.055612018, 1025135.9745594934 6226750.80594394, 1025030.4464215186 6226734.22896369, 1024894.630011008 6226716.14325016, 1024862.1962673268 6226682.224275705, 1024837.7724064854 6226471.3991998015, 1024637.9644260734 6226563.562770279, 1024710.4877802056 6226723.211725724, 1024725.6414599526 6226756.651137955, 1024654.7076863596 6226792.489628332, 1024640.6601672242 6226770.927408742, 1024587.4299784745 6226799.4762931615, 1024572.2672003406 6226807.857477516, 1024511.1826051923 6226837.377066026, 1024391.350402936 6226903.369600274, 1024301.8233722164 6226952.718220189, 1024211.8769502029 6227001.06763244, 1024032.3732886357 6227100.952107725, 1023974.2460912856 6227105.598785548, 1023866.0861679378 6227111.540034022, 1023640.7453637567 6227126.897931515, 1023626.7956119879 6227147.130988172, 1023640.701754015 6227375.843357135, 1023486.1300507211 6227386.924372002, 1023310.9298512051 6227665.612908569, 1023252.5654224354 6227776.788235641)))",30.226795739972466,453.54,75,2.48,604,44.06,18.53,4.5710448557872585,0.15
Zuffenhausen,23,,Zuffenhausen,2023,38740,1401.1,"MULTIPOLYGON (((1023482.6843609022 6245450.603339553, 1023501.1345334988 6245500.709108215, 1023597.5389846164 6245421.885387531, 1023838.0056074829 6245650.298365249, 1023949.7799345729 6245716.882162476, 1024041.6580858162 6245816.956753437, 1024150.2246357464 6245928.688631837, 1024295.2268954796 6245960.070473404, 1024545.1432000586 6245981.136510622, 1024545.2448737306 6246019.590025969, 1024528.6287654375 6246034.679939426, 1024522.0460425287 6246064.791395558, 1024547.3847878793 6246196.80560071, 1024481.1650729872 6246347.466655777, 1024464.9267391063 6246503.008137364, 1024428.4233762736 6246556.609433955, 1024196.0547757297 6246879.965801958, 1024046.6462327612 6247082.6917482475, 1024015.116350376 6247129.598091147, 1024075.1981531993 6247169.580235494, 1024118.5872140591 6247197.894435273, 1023990.6920218448 6247343.715825251, 1024019.117645161 6247383.773364005, 1024022.5512522992 6247422.22552524, 1024012.5942925321 6247437.301718447, 1023995.9689037753 6247450.7217684, 1023967.6593347221 6247455.809573861, 1024104.4453500055 6247520.674534534, 1024206.2049847423 6247570.560915676, 1024217.8123321247 6247550.468550346, 1024261.0247362148 6247577.204281908, 1024299.6117464007 6247612.118826181, 1024474.8534238092 6247725.368256624, 1024444.9445642385 6247755.548896997, 1024453.3145998451 6247770.578579605, 1024393.6493213089 6247887.799421873, 1024356.9349698445 6247864.485260648, 1024312.2066630946 6247958.257571626, 1024273.9068495987 6247965.049697571, 1024399.2484309934 6248106.873173303, 1024464.0576898204 6248046.492281721, 1024580.993907852 6248161.568519141, 1024609.2358976909 6248131.389993679, 1024736.0734855976 6248211.317895994, 1024771.0211597291 6248196.169955342, 1024838.023766328 6248329.77834742, 1024879.7848301609 6248369.802113217, 1024936.5936518478 6248428.179991209, 1025083.3577056188 6248472.92486345, 1025085.1192515107 6248508.040560246, 1025190.1882313068 6248542.868067618, 1025186.9812098861 6248588.033966016, 1025180.4263924398 6248628.190972599, 1025210.4463928058 6248638.139956411, 1025147.6760444083 6248833.99398325, 1025139.3996046074 6248854.085579457, 1025199.4470314762 6248877.332358869, 1025196.4003426423 6248981.0442282595, 1025161.5972030441 6249049.713691842, 1025110.089141886 6249103.378761461, 1024938.6393492003 6249169.0817199, 1024728.4879190553 6249709.906915144, 1024386.6233482548 6249615.486330852, 1024375.0876919415 6249664.020438377, 1024156.7221383243 6249639.508938696, 1023811.8630638199 6249672.203840748, 1023796.5363172623 6249556.843069405, 1023466.8191295946 6249644.6716541285, 1023339.6382642639 6249435.922150521, 1023324.6700871504 6249447.668984751, 1023192.4958203392 6249238.930957152, 1023035.3710181854 6249043.649977738, 1022982.1924173877 6249100.647556777, 1022681.1058118074 6249313.80838533, 1022635.9291568755 6249238.661961288, 1022507.7258503824 6249292.49883618, 1022456.153529947 6249329.418293332, 1022306.276906562 6249369.927771597, 1022220.9105947522 6249209.572854452, 1021994.563524873 6249325.526920904, 1021929.3193506591 6249218.637188246, 1021744.5624547545 6249312.751805527, 1021566.4315504482 6249383.420290198, 1021569.4090308843 6249231.198835445, 1021525.0491003683 6249233.911117461, 1021516.8547498025 6249169.342953214, 1021496.0890980613 6249003.819224974, 1021493.8706721228 6248967.572677211, 1021471.1360557111 6248872.364884048, 1021456.4444922361 6248778.752005904, 1021423.8835605751 6248607.68817034, 1021198.81247431 6248648.570292028, 1021185.6365626437 6248512.982390405, 1021124.6469989043 6248568.014298055, 1020936.276461674 6248479.642376103, 1020677.3283441078 6248473.76606695, 1020424.8520433431 6248485.620946061, 1020424.7855246044 6248454.946016775, 1020368.4887987439 6248451.839904874, 1020369.5712490315 6248208.06363044, 1020215.1837729132 6248210.013616502, 1020263.1330793087 6248075.909969508, 1020276.0215551641 6248042.9482946955, 1020181.5514913687 6248012.427579689, 1020003.2678642479 6247962.017182586, 1019863.1619059226 6247932.844930617, 1019708.0550765521 6247904.959246458, 1019688.9598072722 6248060.992087747, 1019666.6240589427 6248146.609043318, 1019639.2634576447 6248136.9789177235, 1019510.4741191966 6248075.895466681, 1019440.0687356523 6248015.926935071, 1019380.531170307 6247948.316946198, 1019256.5772321906 6247870.179275328, 1018940.7279337711 6247870.430424715, 1018591.7551349408 6247875.982140873, 1018253.9607376786 6247834.6724584345, 1017938.6394244119 6247772.298334526, 1017687.7588419906 6247769.537830373, 1017629.9656161539 6247824.5393556515, 1017442.1484656375 6248008.943113049, 1017419.6631847626 6248025.127678181, 1017408.1564245021 6247997.935634902, 1017293.8364852213 6247817.103940143, 1017219.6862101243 6247718.758153923, 1017319.3351310173 6247686.292339793, 1017280.6485964631 6247636.317703835, 1017450.8451079566 6247489.090522942, 1017436.0972916607 6247337.366773871, 1017329.7790714446 6247237.4888562905, 1017307.1672628399 6247184.336362383, 1017229.6790204251 6247016.532643604, 1017250.4820890935 6246961.60706844, 1017271.1206960067 6246817.903457479, 1017309.1842545961 6246533.743967474, 1017317.051692842 6246438.490235128, 1017316.9325996597 6246370.699703032, 1017168.8138791238 6246259.607565044, 1017318.4649036139 6246327.1198741095, 1017327.0812130711 6246306.69517714, 1017328.332214393 6246252.679109532, 1017324.700197718 6246215.739713133, 1017310.1729217625 6246183.486057446, 1017276.2330320228 6246083.476242953, 1017280.7729915569 6245923.682198675, 1017258.0825213664 6245822.043135815, 1017262.7325657571 6245725.197801697, 1017279.28277462 6245596.099973528, 1017295.4400731936 6245491.639077361, 1017319.0265448672 6245387.164785371, 1017357.4280813038 6245254.309237136, 1017431.3900855801 6245066.208727075, 1017545.527200378 6244901.916227748, 1017563.0710101572 6244745.259774002, 1017577.6733346783 6244604.049434591, 1017582.7390394134 6244403.101946802, 1017554.2411776774 6244302.858484039, 1017535.7379684018 6244204.26950516, 1017520.4800512649 6244058.869610293, 1017530.3174939821 6243976.946936332, 1017625.2811288448 6243998.50049307, 1017643.6561105925 6244028.5536116, 1018095.3016607809 6244203.209193303, 1018160.286589163 6244221.471407208, 1018256.9986212717 6244283.134678175, 1018453.6848246896 6244357.961822811, 1018698.6420370698 6244431.0298839435, 1018868.6462400288 6244497.5505167255, 1018993.5509064264 6244497.298086997, 1019285.1366812915 6244566.909779851, 1019373.5065147629 6244616.876380265, 1019410.3407689346 6244710.410646262, 1019437.2855958794 6244854.117481644, 1019469.1584091128 6244964.379769019, 1019495.9145643197 6245016.148939578, 1019604.2818437257 6245057.70886102, 1019697.5996611095 6245079.245463796, 1019810.9378839203 6245117.4586958205, 1019935.8687680921 6245125.551405583, 1020107.5028506552 6245166.983012269, 1020242.5600160488 6245236.913648479, 1020425.58614314 6245156.272120512, 1020413.7530738681 6245076.052769284, 1020543.5940105206 6245040.655134342, 1020586.7846728377 6245047.279731107, 1020811.8165591299 6245112.311124829, 1020828.602570185 6245120.252813169, 1020923.6340635496 6245161.830334342, 1020991.6375566141 6245032.93834711, 1021003.182683523 6244982.760627844, 1021001.3791380787 6244922.582247599, 1020994.477684585 6244818.950059776, 1021002.6881896465 6244768.777187399, 1021022.6083244408 6244740.313945525, 1021040.9014565074 6244728.570113115, 1021082.516627557 6244720.117319602, 1021117.4938956583 6244721.711128909, 1021152.501809974 6244736.67651555, 1021169.0791876343 6244703.205967893, 1021193.7313422859 6244719.124420322, 1021212.4450739337 6244731.525593507, 1021350.1574011456 6244802.9287490975, 1021394.1728811733 6244818.038300296, 1021369.3829605451 6244918.484383417, 1021431.1111222203 6244945.004882641, 1021504.3951979697 6244948.180604159, 1021547.596824584 6244906.284613793, 1021560.7793188024 6244847.739469461, 1021592.4264948536 6244849.336965317, 1021638.9518514655 6244805.759369354, 1021670.3237826233 6244693.67244306, 1021725.1084503968 6244618.3157466315, 1021802.8973949341 6244402.472766351, 1022103.7018173671 6244137.62368282, 1022000.4370923968 6244131.187645208, 1021993.484376019 6244007.50821605, 1022141.7054195075 6244012.162221636, 1022323.0897280454 6243958.2266084105, 1022283.3097247427 6244035.21688051, 1022358.37174557 6244086.849695358, 1022441.458376785 6244014.766077626, 1022511.3098359938 6243979.483819879, 1022574.5920272127 6243980.996506528, 1022567.9992824141 6244009.428712689, 1022599.6518463596 6244012.696126903, 1022574.9364780241 6244118.071524511, 1022583.3055115433 6244134.769332553, 1022558.4082884191 6244168.263083427, 1022535.0770532386 6244161.633717477, 1022428.7383976484 6244260.525004133, 1022254.4280089563 6244489.960933234, 1022246.2198337954 6244540.124866779, 1022264.6494717458 6244585.216917385, 1022436.6453130405 6244771.159332691, 1022507.6223285275 6244857.66996957, 1022555.2595624072 6244916.314731982, 1022637.0533373194 6244989.66708051, 1022739.7654805258 6244767.071277254, 1022837.5063091641 6244556.193852094, 1022883.90301261 6244460.79449523, 1022937.4441094032 6244552.593739868, 1023051.047637005 6244692.728211471, 1023269.5201432778 6244809.195286273, 1023317.9729064353 6244869.253374091, 1023343.1328135834 6244939.401997704, 1023343.4082114823 6245048.0644101035, 1023383.6319670571 6245146.595324145, 1023387.0851880378 6245195.065758496, 1023457.4309577023 6245345.344859088, 1023482.6843609022 6245450.603339553)))",27.649923484410728,1401.09,214,7.74,1317,34.0,17.21,15.187693109128487,0.55
